ID,Gender,Occupation,CompanySize,HouseHold,Experience,Transportation,Remote,RecommendRemote,RemotePreffered,Productivity,Age,Sector,CompanyAllowChoice,CompanyCommonRemote,CompanySupportRemote,WorkingHoursDiff,PersonalHoursDiff,DomesticHoursDiff,CommuteHoursDiff,BiggestChallenge,BiggestBenefit
75,Female,Professional,20-199,Couple+children,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,35,Tertiary quinary,no,yes,no,-25,100,33.33,33.33,Isolation,Relationships
76,Female,Manager,1-19,Single,More than 5 years,Metro,Remote,yes,Hybrid,Increased,28,Tertiary quaternary,yes,yes,yes,0,40,0,0,Collaboration,Less expenses
77,Female,Manager,1-19,Single,Between 1 and 5 years,Regional,Hybrid,yes,Hybrid,Increased,59,Tertiary quinary,yes,hard to say,hard to say,16.669999999999998,-25,0,0,Technical,Mental wellbeing
78,Male,Other,200+,Couple+children,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,47,Tertiary quaternary,yes,yes,yes,100,0,0,0,Working conditions,Professional
79,Female,Manager,1-19,Couple+children,More than 5 years,Metro,Hybrid,yes,Hybrid,Same level,57,Tertiary quaternary,yes,yes,yes,0,100,0,0,Technical,Work-life balance
80,Male,Professional,1-19,Couple+children,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,52,Tertiary quaternary,yes,yes,yes,10,100,0,0,Technical,Professional
81,Male,Manager,20-199,Couple,More than 5 years,Metro,Hybrid,hard to say,Hybrid,Dropped,59,Secondary,hard to say,no,hard to say,-16.669999999999998,60,0,0,Motivation,Professional
82,Male,Manager,1-19,Couple,More than 5 years,Metro,Hybrid,no,Remote,Same level,52,Tertiary quaternary,yes,yes,yes,-75,0,0,0,Motivation,Relationships
83,Male,Other,200+,Couple,Between 1 and 5 years,Metro,Remote,yes,Hybrid,Increased,56,Tertiary quinary,hard to say,yes,yes,0,3.3300000000000005,0,0,Technical,Professional
84,Male,Manager,200+,Other,More than 5 years,Metro,Remote,yes,Hybrid,Same level,51,Tertiary quaternary,hard to say,yes,yes,0,100,33.33,33.33,Motivation,Work-life balance
85,Male,Manager,200+,Couple+children,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Increased,52,Secondary,yes,yes,yes,14.29,100,100,100,Isolation,Mental wellbeing
86,Male,Other,1-19,Other,Between 6 and 12 months,Metro,Remote,no,Hybrid,Same level,55,Tertiary quinary,yes,yes,yes,0,25,0,0,Collaboration,Work-life balance
87,Male,Professional,200+,Couple+children,Between 1 and 5 years,Metro,Almost onsite,no,Remote,Dropped,56,Tertiary quinary,no,yes,no,-14.29,0,100,100,Collaboration,Work-life balance
88,Male,Professional,200+,Couple+children,More than 5 years,Metro,Remote,yes,Almost onsite,Increased,63,Tertiary quaternary,yes,hard to say,hard to say,25,0,0,0,Isolation,Less expenses
89,Female,Professional,200+,Other,More than 5 years,Metro,Hybrid,yes,Hybrid,Same level,50,Tertiary quaternary,yes,yes,yes,14.29,33.33,0,0,Isolation,Professional
90,Male,Other,200+,Couple+children,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,40,Secondary,no,yes,hard to say,100,50,50,50,Company's policy,Less expenses
91,Male,Other,1-19,Couple+children,More than 5 years,Metro,Remote,yes,Remote,Same level,46,Tertiary quinary,hard to say,yes,hard to say,0,0,0,0,Company's policy,Work-life balance
92,Male,Professional,200+,Couple,More than 5 years,Metro,Hybrid,hard to say,Hybrid,Increased,60,Secondary,yes,yes,yes,12.5,100,100,100,Isolation,Job satisfaction
93,Male,Manager,1-19,Couple,Between 1 and 5 years,Metro,Hybrid,hard to say,Hybrid,Dropped,57,Tertiary quaternary,hard to say,no,no,0,0,0,0,Technical,Professional
94,Female,Other,20-199,Other,Between 6 and 12 months,Metro,Hybrid,yes,Hybrid,Same level,34,Tertiary quinary,yes,yes,yes,0,66.67,100,100,Impossible tasks,Less expenses
95,Male,Professional,20-199,Other,Between 6 and 12 months,Metro,Hybrid,hard to say,Hybrid,Dropped,20,Tertiary quinary,hard to say,yes,hard to say,-99.83,0,0,0,Collaboration,Professional
96,Male,Other,1-19,Couple+children,Between 1 and 5 years,Regional,Hybrid,yes,Hybrid,Increased,49,Tertiary quinary,yes,hard to say,hard to say,0,100,0,0,Technical,Work-life balance
97,Female,Professional,20-199,Single,Between 6 and 12 months,Metro,Remote,yes,Remote,Increased,50,Tertiary quaternary,yes,yes,yes,25,-50,0,0,Technical,Work-life balance
98,Male,Professional,200+,Single,More than 5 years,Metro,Hybrid,hard to say,Hybrid,Dropped,56,Tertiary quinary,yes,yes,yes,0,-20,0,0,Isolation,Professional
99,Female,Clerk,1-19,Other,More than 5 years,Metro,Hybrid,hard to say,Almost onsite,Same level,60,Tertiary quinary,no,no,no,0,0,0,0,Impossible tasks,Professional
100,Male,Manager,20-199,Single,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,58,Tertiary quaternary,yes,yes,yes,0,0,0,0,Collaboration,Professional
101,Male,Professional,20-199,Couple+children,Between 6 and 12 months,Metro,Hybrid,yes,Hybrid,Increased,46,Tertiary quaternary,yes,yes,hard to say,75,50,0,0,Technical,Work-life balance
102,Male,Professional,1-19,Couple,More than 5 years,Metro,Remote,yes,Remote,Increased,61,Tertiary quinary,yes,yes,yes,-25,50,0,0,Isolation,Work-life balance
104,Male,Manager,20-199,Couple,More than 5 years,Metro,Remote,yes,Hybrid,Increased,60,Tertiary quaternary,yes,yes,yes,0,37.5,50,50,Collaboration,Professional
105,Male,Professional,200+,Couple+children,More than 5 years,Metro,Remote,hard to say,Hybrid,Same level,59,Tertiary quaternary,yes,yes,hard to say,16.669999999999998,100,100,100,Isolation,Work-life balance
106,Male,Professional,1-19,Couple+children,More than 5 years,Metro,Hybrid,yes,Hybrid,Same level,61,Tertiary quaternary,yes,yes,yes,12.5,0,0,0,Isolation,Work-life balance
107,Male,Manager,1-19,Couple,More than 5 years,Metro,Remote,yes,Hybrid,Same level,52,Tertiary quinary,hard to say,yes,hard to say,0,33.33,100,100,Technical,Professional
108,Male,Professional,200+,Couple+children,More than 5 years,Metro,Remote,yes,Hybrid,Same level,51,Tertiary quaternary,yes,yes,yes,0,100,50,50,Technical,Work-life balance
109,Male,Other,20-199,Couple+children,Between 6 and 12 months,Metro,Hybrid,yes,Hybrid,Dropped,52,Secondary,hard to say,yes,hard to say,33.33,0,0,0,Technical,Work-life balance
110,Male,Manager,20-199,Couple,Between 1 and 5 years,Metro,Remote,yes,Hybrid,Same level,30,Tertiary quinary,yes,yes,yes,12.5,0,0,0,Working conditions,Work-life balance
111,Male,Professional,200+,Couple+children,More than 5 years,Metro,Remote,yes,Remote,Increased,60,Primary and Other,yes,yes,yes,75,0,20,20,Working conditions,Work-life balance
112,Female,Manager,200+,Other,Between 6 and 12 months,Metro,Remote,yes,Hybrid,Increased,26,Tertiary quaternary,yes,yes,yes,12.5,25,100,100,Collaboration,Relationships
113,Male,Professional,200+,Couple+children,More than 5 years,Metro,Hybrid,yes,Hybrid,Dropped,61,Tertiary quaternary,yes,yes,yes,0,0,100,100,Working conditions,Professional
114,Male,Professional,20-199,Couple,Between 1 and 5 years,Metro,Remote,yes,Hybrid,Increased,30,Tertiary quinary,hard to say,yes,hard to say,12.5,0,100,100,Isolation,Work-life balance
115,Male,Manager,200+,Couple+children,More than 5 years,Metro,Remote,yes,Remote,Same level,60,Tertiary quaternary,yes,yes,yes,0,0,0,0,Self management,Work-life balance
116,Male,Manager,200+,Couple+children,Between 1 and 5 years,Metro,Remote,no,Hybrid,Increased,58,Tertiary quaternary,yes,yes,yes,0,100,0,0,Isolation,Professional
117,Male,Professional,200+,Couple+children,Between 1 and 5 years,Metro,Almost onsite,no,Onsite,Same level,48,Tertiary quinary,yes,no,yes,0,0,-20,-20,Caring,Work-life balance
118,Male,Professional,200+,Couple,More than 5 years,Metro,Hybrid,hard to say,Hybrid,Increased,63,Tertiary quinary,yes,hard to say,hard to say,0,50,0,0,Isolation,Professional
120,Male,Professional,200+,Couple+children,More than 5 years,Metro,Remote,yes,Hybrid,Increased,50,Tertiary quaternary,yes,yes,yes,50,0,0,0,Technical,Work-life balance
121,Male,Professional,20-199,Couple,More than 5 years,Metro,Remote,yes,Hybrid,Dropped,58,Tertiary quaternary,yes,yes,yes,0,0,-50,-50,Isolation,Less expenses
122,Male,Professional,200+,Couple+children,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,61,Tertiary quinary,hard to say,hard to say,yes,6.67,-25,25,25,Isolation,Less expenses
123,Male,Manager,200+,Couple,More than 5 years,Metro,Hybrid,hard to say,Hybrid,Same level,57,Secondary,yes,yes,hard to say,17.65,0,0,0,Company's policy,Job satisfaction
124,Male,Manager,20-199,Couple+children,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,50,Tertiary quinary,yes,yes,yes,0,33.33,0,0,Motivation,Relationships
125,Female,Manager,1-19,Couple+children,Between 1 and 5 years,Metro,Hybrid,no,Onsite,Same level,57,Tertiary quinary,no,no,no,20,0,0,0,Isolation,Work-life balance
126,Male,Manager,200+,Couple,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Increased,56,Secondary,no,yes,yes,0,33.33,50,50,Company's policy,Professional
127,Female,Professional,1-19,Couple+children,More than 5 years,Metro,Almost onsite,yes,Almost onsite,Same level,55,Tertiary quaternary,hard to say,yes,hard to say,0,25,25,25,Technical,Professional
128,Female,Clerk,200+,Single,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Same level,37,Tertiary quinary,yes,yes,yes,0,0,50,50,Motivation,Professional
129,Female,Clerk,1-19,Couple,More than 5 years,Metro,Remote,yes,Hybrid,Increased,55,Tertiary quinary,yes,yes,yes,0,66.67,33.33,33.33,Motivation,Professional
130,Female,Clerk,1-19,Couple+children,Between 1 and 5 years,Metro,Remote,yes,Hybrid,Same level,40,Tertiary quinary,yes,yes,yes,0,100,0,0,Isolation,Professional
131,Male,Manager,200+,Single,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Dropped,32,Tertiary quaternary,yes,yes,hard to say,14.29,-3.85,50,50,Collaboration,Less expenses
132,Male,Manager,20-199,Couple+children,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,65,Tertiary quaternary,yes,yes,yes,0,66.67,0,0,Technical,Work-life balance
133,Female,Clerk,200+,Couple+children,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,46,Tertiary quinary,yes,hard to say,yes,12.5,0,-16.669999999999998,-16.669999999999998,Motivation,Work-life balance
134,Male,Manager,1-19,Couple,Between 1 and 5 years,Metro,Remote,yes,Hybrid,Same level,39,Tertiary quinary,yes,yes,hard to say,0,0,0,0,Technical,Work-life balance
135,Male,Professional,1-19,Couple,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,43,Tertiary quaternary,yes,yes,yes,0,100,0,0,Motivation,Professional
136,Male,Professional,20-199,Couple+children,More than 5 years,Metro,Remote,yes,Hybrid,Increased,53,Tertiary quinary,hard to say,yes,hard to say,12.5,0,0,0,Self management,Professional
138,Male,Professional,1-19,Couple,More than 5 years,Metro,Almost onsite,hard to say,Hybrid,Increased,62,Primary and Other,yes,hard to say,yes,0,50,0,0,Technical,Professional
139,Female,Professional,200+,Couple,Between 6 and 12 months,Metro,Hybrid,hard to say,Onsite,Same level,25,Tertiary quinary,no,no,no,100,33.33,-50,-50,Caring,Relationships
141,Female,Professional,200+,Single,Between 1 and 5 years,Metro,Remote,yes,Hybrid,Increased,59,Tertiary quaternary,yes,yes,yes,12.5,37.5,0,0,Motivation,Professional
142,Female,Other,1-19,Couple,More than 5 years,Metro,Remote,yes,Remote,Increased,38,Primary and Other,hard to say,yes,yes,0,100,-25,-25,Working conditions,Work-life balance
143,Female,Professional,20-199,Couple+children,Between 1 and 5 years,Regional,Hybrid,yes,Hybrid,Same level,43,Tertiary quinary,yes,yes,yes,9.09,0,0,0,Caring,Work-life balance
144,Female,Other,1-19,Couple,Between 1 and 5 years,Metro,Hybrid,yes,Remote,Increased,29,Tertiary quinary,yes,yes,yes,0,66.67,100,100,Technical,Professional
145,Female,Professional,200+,Couple+children,Between 1 and 5 years,Metro,Remote,yes,Hybrid,Dropped,43,Secondary,yes,yes,yes,33.33,-20,0,0,Self management,Professional
146,Female,Professional,20-199,Single,Between 1 and 5 years,Metro,Remote,yes,Remote,Increased,31,Tertiary quinary,no,yes,no,33.33,100,100,100,Self management,Job satisfaction
147,Female,Professional,1-19,Other,More than 5 years,Regional,Hybrid,no,Hybrid,Increased,47,Primary and Other,hard to say,hard to say,hard to say,-50,-50,-90,-90,Technical,Relationships
148,Male,Manager,200+,Couple,More than 5 years,Metro,Hybrid,yes,Hybrid,Same level,29,Tertiary quaternary,yes,yes,yes,0,0,0,0,Caring,Work-life balance
149,Male,Professional,200+,Single,Between 1 and 5 years,Metro,Remote,no,Onsite,Same level,33,Tertiary quaternary,yes,yes,hard to say,0,0,0,0,Collaboration,Less expenses
150,Female,Manager,1-19,Couple,More than 5 years,Metro,Hybrid,yes,Hybrid,Dropped,27,Tertiary quinary,yes,yes,no,-14.29,100,100,100,Motivation,Relationships
151,Male,Professional,20-199,Couple+children,More than 5 years,Metro,Remote,yes,Hybrid,Same level,45,Tertiary quaternary,yes,yes,yes,14.29,100,100,100,Isolation,Work-life balance
152,Female,Manager,200+,Couple+children,Between 1 and 5 years,Metro,Remote,yes,Remote,Increased,24,Tertiary quinary,yes,yes,yes,75,-66.67,0,0,Motivation,Professional
153,Male,Manager,200+,Couple+children,Between 1 and 5 years,Regional,Almost onsite,yes,Hybrid,Dropped,29,Tertiary quaternary,hard to say,yes,yes,0,100,100,100,Technical,Relationships
154,Female,Professional,1-19,Single,More than 5 years,Metro,Hybrid,hard to say,Hybrid,Same level,30,Tertiary quinary,yes,yes,yes,0,0,0,0,Technical,Work-life balance
155,Female,Clerk,200+,Couple,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Increased,30,Tertiary quinary,no,no,no,0,0,50,50,Impossible tasks,Less expenses
156,Female,Professional,200+,Single,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Same level,22,Tertiary quaternary,hard to say,yes,no,40,100,50,50,Isolation,Professional
157,Male,Other,20-199,Other,Between 6 and 12 months,Metro,Almost onsite,yes,Hybrid,Increased,30,Secondary,yes,yes,yes,0,-50,-50,-50,Caring,Less expenses
158,Female,Professional,200+,Single,More than 5 years,Metro,Almost onsite,no,Almost onsite,Dropped,63,Tertiary quinary,no,no,hard to say,-6.67,50,-50,-50,Collaboration,Professional
159,Male,Manager,200+,Couple+children,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Dropped,49,Tertiary quinary,yes,yes,yes,-57.14,20,0,0,Technical,Less expenses
161,Male,Manager,1-19,Couple+children,More than 5 years,Regional,Hybrid,no,Onsite,Dropped,53,Tertiary quinary,no,no,no,-37.5,100,0,0,Isolation,Work-life balance
162,Female,Clerk,20-199,Single,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,56,Tertiary quinary,yes,yes,yes,0,0,0,0,Technical,Work-life balance
163,Female,Clerk,20-199,Couple+children,Between 1 and 5 years,Metro,Remote,yes,Remote,Increased,44,Tertiary quaternary,yes,yes,yes,0,100,0,0,Working conditions,Work-life balance
164,Female,Manager,1-19,Other,Between 1 and 5 years,Metro,Almost onsite,hard to say,Remote,Increased,30,Primary and Other,hard to say,hard to say,hard to say,0,0,0,0,Isolation,Relationships
165,Female,Clerk,1-19,Couple,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Same level,55,Tertiary quinary,yes,yes,yes,-12.5,0,0,0,Technical,Less expenses
166,Female,Professional,200+,Couple+children,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,50,Tertiary quinary,no,yes,no,16.669999999999998,33.33,100,100,Company's policy,Less expenses
167,Male,Manager,20-199,Other,Between 1 and 5 years,Metro,Hybrid,hard to say,Hybrid,Same level,53,Primary and Other,yes,yes,no,25,-50,100,100,Technical,Professional
168,Female,Professional,200+,Single,More than 5 years,Metro,Remote,yes,Hybrid,Increased,31,Tertiary quaternary,yes,yes,yes,60,100,0,0,Technical,Work-life balance
169,Male,Other,1-19,Single,More than 5 years,Metro,Almost onsite,hard to say,Onsite,Increased,55,Secondary,hard to say,hard to say,hard to say,66.67,66.67,66.67,66.67,Company's policy,Job satisfaction
170,Female,Clerk,200+,Couple,Between 1 and 5 years,Metro,Remote,yes,Hybrid,Increased,37,Tertiary quinary,yes,hard to say,yes,12.5,25,0,0,Isolation,Professional
